"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"ui\auto-5-add-to-cart.spec.ts › Auto-5: Add to Cart","19417","Verify shopper can add one product to cart from product listing","ui\auto-5-add-to-cart.spec.ts","2026-05-07","passed","2026-05-07","","Auto-5: Add to Cart","",""
"ui\auto-n2-nonexistent-user.spec.ts › Auto-N2: Login Negative","3257","Verify error message for non-existent username without leaking user existence","ui\auto-n2-nonexistent-user.spec.ts","2026-05-07","passed","2026-05-07","","Auto-N2: Login Negative","",""
"ui\auto-3-login.spec.ts › Auto-3: Login","9847","Verify user can successfully log in","ui\auto-3-login.spec.ts","2026-05-07","passed","2026-05-07","","Auto-3: Login","",""
"ui\auto-n4-required-password.spec.ts › Auto-N4: Login Negative","3255","Verify required field validation for password","ui\auto-n4-required-password.spec.ts","2026-05-07","passed","2026-05-07","","Auto-N4: Login Negative","",""
"ui\auto-8-checkout-card.spec.ts › Auto-8: Checkout Card Payment","15067","Verify shopper can complete checkout using valid card payment flow","ui\auto-8-checkout-card.spec.ts","2026-05-07","passed","2026-05-07","","Auto-8: Checkout Card Payment","",""
"ui\auto-6-cart-quantity.spec.ts › Auto-6: Cart Quantity Update","62019","Verify increasing item quantity recalculates line total and cart total correctly","ui\auto-6-cart-quantity.spec.ts","2026-05-07","failed","2026-05-07","","Auto-6: Cart Quantity Update","",""
"ui\auto-4-create-product.spec.ts › Auto-4: Create Product","22763","Verify admin can create a product with valid mandatory information","ui\auto-4-create-product.spec.ts","2026-05-07","passed","2026-05-07","","Auto-4: Create Product","",""
"ui\auto-nav1-cart-subtotal-navigation.spec.ts › Auto-Nav1: Cart Navigation Persistence","7975","Verify cart subtotal updates correctly when adding multiple different items","ui\auto-nav1-cart-subtotal-navigation.spec.ts","2026-05-07","passed","2026-05-07","","Auto-Nav1: Cart Navigation Persistence","",""
"ui\auto-n3-required-username.spec.ts › Auto-N3: Login Negative","3810","Verify required field validation for username","ui\auto-n3-required-username.spec.ts","2026-05-07","passed","2026-05-07","","Auto-N3: Login Negative","",""
"ui\auto-n1-invalid-password.spec.ts › Auto-N1: Login Negative","2738","Verify error message is displayed when password is incorrect","ui\auto-n1-invalid-password.spec.ts","2026-05-07","passed","2026-05-07","","Auto-N1: Login Negative","",""
"ui\auto-7-checkout-cod.spec.ts › Auto-7: Checkout COD","14637","Verify shopper can complete checkout using valid shipping info and COD payment","ui\auto-7-checkout-cod.spec.ts","2026-05-07","passed","2026-05-07","","Auto-7: Checkout COD","",""
"ui\auto-n5-username-case-sensitivity.spec.ts › Auto-N5: Login Negative","3541","Verify case sensitivity handling for username field","ui\auto-n5-username-case-sensitivity.spec.ts","2026-05-07","passed","2026-05-07","","Auto-N5: Login Negative","",""
